ac_number,party_21,share_21,turnout_21,reserved,region,party_26,share_26,constituency,district,region_master,margin_21,mpct_21,margin_26,mpct_26,flipped,margin_change
37,DMK,44.77,73.28,GEN,North,TVK,37.09,Kancheepuram,Kanchipuram,North,11595,5.05,15488,6.29,True,3893
38,AIADMK,49.82,74.89,SC,North,TVK,40.46,Arakonam,Vellore,North,27169,15.85,23121,12.68,True,-4048
39,INC,49.18,80.09,GEN,North,TVK,36.16,Sholinghur,Vellore,North,26698,11.91,5686,2.43,True,-21012
40,DMK,45.71,74.0,GEN,North,TVK,34.33,Katpadi,Vellore,North,746,0.4,5870,2.88,True,5124
41,DMK,49.79,77.24,GEN,North,TVK,41.24,Ranipet,Vellore,North,16498,7.95,5787,2.62,True,-10711
42,DMK,49.52,79.62,GEN,North,AIADMK,46.77,Arcot,Vellore,North,19958,9.51,42720,18.92,True,22762
43,DMK,46.86,70.25,GEN,North,TVK,38.33,Vellore,Vellore,North,9181,5.1,6777,3.56,True,-2404
44,DMK,48.11,77.05,GEN,North,AIADMK,35.27,Anaikattu,Vellore,North,6360,3.22,7081,3.27,True,721
45,AIADMK,48.57,76.5,SC,North,TVK,39.13,Kilvaithinankuppam,Vellore,North,10582,6.08,20255,10.67,True,9673
46,DMK,47.45,72.56,SC,North,TVK,36.17,Gudiyatham,Vellore,North,6901,3.26,10097,4.41,True,3196
47,AIADMK,46.33,75.55,GEN,North,IUML,34.43,Vaniayambadi,Vellore,North,4904,2.58,2982,1.4,True,-1922
48,DMK,50.86,74.01,GEN,North,DMK,37.89,Ambur,Vellore,North,20232,11.37,7131,3.65,False,-13101
49,DMK,45.57,80.98,GEN,North,AIADMK,36.91,Jolarpet,Vellore,North,1091,0.56,16083,7.55,True,14992
50,DMK,51.91,76.97,GEN,North,TVK,51.79,Tiruppattur,Vellore,North,28240,15.19,48263,23.78,True,20023
51,AIADMK,52.96,78.37,SC,North,TVK,34.16,Uthangarai,Krishnagiri,North,28387,15.08,5198,2.53,True,-23189
52,DMK,49.17,79.08,GEN,North,AIADMK,33.3,Bargur,Krishnagiri,North,12614,6.38,4241,1.98,True,-8373
